PMF_ID;PMF_PMF_ID_ParentProjectModuleFolder;PMF_Name;PMF_Description;CREATED_BY;CREATED_DATE;CHANGED_BY;CHANGED_DATE
114;14;Granskning dörrprojektering;NULL;SAMRUMUser;2021-11-26 15:36:51.690;SAMRUMUser;2021-11-26 15:36:51.690
115;4;Erfarenhetsåterföring;NULL;SAMRUMUser;2022-01-11 10:27:24.703;SAMRUMUser;2022-01-11 10:27:24.703
116;105;Kravställning utrymmen;NULL;SAMRUMUser;2022-02-09 10:28:50.413;SAMRUMUser;2022-02-09 10:28:50.413
117;106;P Säkerhets- och skyddssystem;NULL;SAMRUMUser;2022-02-09 10:32:03.510;SAMRUMUser;2022-02-09 10:45:54.493
118;106;L Övervakande, styrande och reglerande system;NULL;SAMRUMUser;2022-02-09 10:49:23.793;SAMRUMUser;2022-02-09 10:53:48.330
119;106;E Gas- och luftsystem;NULL;SAMRUMUser;2022-02-09 10:59:01.823;SAMRUMUser;2022-02-09 10:59:01.823
120;106;J Ventilationssystem;NULL;SAMRUMUser;2022-02-09 10:59:42.947;SAMRUMUser;2022-02-09 10:59:42.947
121;106;F Vatten- och vätskesystem;NULL;SAMRUMUser;2022-02-09 11:00:44.643;SAMRUMUser;2022-02-09 11:00:44.643
122;106;Systemövergripande funktionskrav;NULL;SAMRUMUser;2022-02-09 11:03:40.497;SAMRUMUser;2022-02-09 11:03:40.497
123;67;Vatten och avlopp;NULL;SAMRUMUser;2022-03-10 11:54:12.730;SAMRUMUser;2022-03-10 11:54:12.730
124;33;E. Gas- och luftsystem projektering;NULL;SAMRUMUser;2022-03-25 17:36:08.197;SAMRUMUser;2023-02-28 10:48:44.680
125;NULL;Standarder;NULL;SAMRUMUser;2022-03-26 09:25:33.183;SAMRUMUser;2022-03-26 09:25:33.183
126;125;81346 Standarden;NULL;SAMRUMUser;2022-03-26 09:26:52.677;SAMRUMUser;2022-03-26 09:26:52.677
127;125;BIP;NULL;SAMRUMUser;2022-03-26 09:27:56.550;SAMRUMUser;2022-03-26 09:27:56.550
128;125;IFC;NULL;SAMRUMUser;2022-03-26 09:28:18.220;SAMRUMUser;2022-03-26 09:28:18.220
129;13;Teletekniska system;NULL;SAMRUMUser;2022-03-26 09:46:33.400;SAMRUMUser;2022-03-26 09:46:33.400
130;NULL;0. Fastighet;NULL;SAMRUMUser;2022-03-29 21:05:42.973;SAMRUMUser;2022-03-29 21:05:42.973
131;55;Tekniska funktionskrav per system;NULL;SAMRUMUser;2022-04-13 20:08:20.193;SAMRUMUser;2022-04-13 20:08:20.193
132;131;Elsystem;NULL;SAMRUMUser;2022-04-13 20:09:19.607;SAMRUMUser;2022-04-13 20:09:19.607
133;59;E. Gas- och luftsystem produktion;NULL;SAMRUMUser;2022-04-13 21:33:42.073;SAMRUMUser;2023-02-28 10:50:57.333
134;131;Konstruktiva och Arkitekt kravdokument;NULL;SAMRUMUser;2022-04-17 21:52:14.210;SAMRUMUser;2022-04-17 21:52:14.210
135;60;Kontroller;NULL;SAMRUMUser;2022-10-16 11:04:22.187;SAMRUMUser;2022-10-16 11:04:22.187
136;60;Produktionsplanering tilltrådesobjekt;NULL;SAMRUMUser;2022-10-16 11:12:15.783;SAMRUMUser;2022-10-16 11:12:15.783
137;14;Projektering tillträdesobjekt;NULL;SAMRUMUser;2022-10-16 11:17:56.197;SAMRUMUser;2022-10-16 11:17:56.197
138;137;Kravställningar;NULL;SAMRUMUser;2022-10-16 11:19:03.390;SAMRUMUser;2022-10-16 11:19:03.390
141;37;E Gas- och luftsystem systemhandling;NULL;SAMRUMUser;2023-02-23 07:59:39.320;SAMRUMUser;2023-02-28 10:49:01.477
144;37;G Avlopps- och avfallssystem;NULL;SAMRUMUser;2023-02-25 12:06:51.980;SAMRUMUser;2023-02-25 15:59:27.753
145;37;F Vatten- och vätskesystem systemhandling;NULL;SAMRUMUser;2023-02-25 12:08:31.280;SAMRUMUser;2023-02-25 15:59:20.123
146;37;H Kyl- och värmesystem;NULL;SAMRUMUser;2023-02-25 12:09:09.153;SAMRUMUser;2023-02-25 15:59:51.597
147;37;L Automationssystem;NULL;SAMRUMUser;2023-02-25 12:10:03.943;SAMRUMUser;2023-02-25 15:57:10.853
148;37;J Luftbehandlingssystem;NULL;SAMRUMUser;2023-02-25 12:10:46.523;SAMRUMUser;2023-02-25 15:59:56.523
149;37;Disciplin el;NULL;SAMRUMUser;2023-03-21 22:00:49.380;SAMRUMUser;2023-03-21 22:00:49.380
