OTRD_ID;OTRD_OTR_ID_ObjectTypeRelatinship;OTRD_OTR_ID_ConditionalObjectTypeRelationship;OTRD_RDT_ID_RelationshipDependencyType;CREATED_BY;CREATED_DATE;CHANGED_BY;CHANGED_DATE;timestamp
1177;1831;1827;1;SAMRUMUser;2009-04-27 21:03:31.740;SAMRUMUser;2009-04-27 21:03:31.740;0x000000000002C3B2
1178;891;1831;1;SAMRUMUser;2009-04-27 21:04:47.897;SAMRUMUser;2009-04-27 21:04:47.897;0x000000000002C3B6
1231;891;340;1;SAMRUMUser;2009-05-18 07:54:32.247;SAMRUMUser;2009-05-18 07:54:32.247;0x000000000002C68E
1266;499;453;1;SAMRUMUser;2009-05-28 09:17:47.890;SAMRUMUser;2009-05-28 09:17:47.890;0x000000000002C7F6
1267;1678;1679;1;SAMRUMUser;2009-05-28 09:18:30.687;SAMRUMUser;2009-05-28 09:18:30.687;0x000000000002C7FA
1268;1678;1753;1;SAMRUMUser;2009-05-28 09:19:04.000;SAMRUMUser;2009-05-28 09:19:04.000;0x000000000002C7FE
1370;454;249;1;SAMRUMUser;2009-06-11 20:17:15.373;SAMRUMUser;2009-06-11 20:17:15.373;0x000000000002CCA3
1440;1968;1991;1;SAMRUMUser;2009-07-17 09:42:13.277;SAMRUMUser;2009-07-17 09:42:13.277;0x000000000002D71B
1447;1041;2003;1;SAMRUMUser;2009-08-31 13:40:05.397;SAMRUMUser;2009-08-31 13:40:05.397;0x000000000002F1F0
1448;1041;2002;1;SAMRUMUser;2009-08-31 13:42:04.837;SAMRUMUser;2009-08-31 13:42:04.837;0x000000000002F1F2
1449;1041;2004;1;SAMRUMUser;2009-08-31 14:14:19.203;SAMRUMUser;2009-08-31 14:14:19.203;0x000000000002F208
1450;1041;2005;1;SAMRUMUser;2009-08-31 14:15:45.440;SAMRUMUser;2009-08-31 14:15:45.440;0x000000000002F20D
1451;1041;2006;1;SAMRUMUser;2009-08-31 14:17:16.047;SAMRUMUser;2009-08-31 14:17:16.047;0x000000000002F212
1452;1041;2007;1;SAMRUMUser;2009-08-31 14:18:59.423;SAMRUMUser;2009-08-31 14:18:59.423;0x000000000002F217
1453;1041;2008;1;SAMRUMUser;2009-08-31 14:22:49.673;SAMRUMUser;2009-08-31 14:22:49.673;0x000000000002F21C
1455;1041;2010;1;SAMRUMUser;2009-08-31 14:35:25.913;SAMRUMUser;2009-08-31 14:35:25.913;0x000000000002F256
1456;1041;2011;1;SAMRUMUser;2009-08-31 14:37:16.867;SAMRUMUser;2009-08-31 14:37:16.867;0x000000000002F25B
1457;1041;2012;1;SAMRUMUser;2009-08-31 14:40:14.897;SAMRUMUser;2009-08-31 14:40:14.897;0x000000000002F260
1458;2012;2013;1;SAMRUMUser;2009-08-31 14:42:19.913;SAMRUMUser;2009-08-31 14:42:19.913;0x000000000002F265
1459;2012;2014;1;SAMRUMUser;2009-08-31 14:44:20.227;SAMRUMUser;2009-08-31 14:44:20.227;0x000000000002F26A
