PMO_ID;PMO_Name;PMO_Description;PMO_AllowIncompleteVersions;CREATED_BY;CREATED_DATE;CHANGED_BY;CHANGED_DATE;timestamp;PMO_PMF_ID_ProjectModuleFolder
102;2. Inredning/Utrustning;NULL;0;SAMRUMUser;2008-09-07 17:20:34.573;SAMRUMUser;2014-05-02 21:16:54.460;0x000000000004B5F6;44
103;3.53 Gemensamma tele-styr-brandfunktioner;NULL;0;SAMRUMUser;2008-09-09 14:40:01.457;SAMRUMUser;2017-04-15 22:05:03.903;0x000000000006AB36;13
104;3.09 Samordnade funktionsprover;NULL;0;SAMRUMUser;2008-09-10 20:06:45.847;SAMRUMUser;2017-04-15 22:42:20.563;0x000000000006AB88;61
107;3.36 Dörrar gränsdragningslista;NULL;0;SAMRUMUser;2008-10-13 20:26:23.447;SAMRUMUser;2017-04-15 22:37:24.170;0x000000000006AB80;14
108;3.35 Dörrar, kanalisation El;Kvalitetssäkringsfunktion för att få med yttre elkanalisation till dörren. Skall verifieras av elkonsulten.;0;SAMRUMUser;2008-11-15 09:52:46.917;SAMRUMUser;2017-04-15 22:36:29.040;0x000000000006AB7C;14
109;El totalt;Sammanfattar alla elmoduler, ej ändringsbar;0;SAMRUMUser;2008-11-22 11:27:17.507;SAMRUMUser;2017-04-15 22:02:20.267;0x000000000006AB2C;13
110;El;NULL;0;SAMRUMUser;2008-11-22 15:06:14.673;SAMRUMUser;2017-04-15 22:03:04.117;0x000000000006AB30;13
112;Dokumentation tillträdesobjekt;NULL;0;SAMRUMUser;2009-02-11 20:37:35.023;SAMRUMUser;2022-10-16 11:15:49.300;0x00000000000804E8;136
113;Låssmed 3 lås, original;NULL;0;SAMRUMUser;2009-06-05 19:23:35.357;SAMRUMUser;2010-07-27 10:18:39.380;0x0000000000035E6B;29
114;3.01 Projekteringsförutsättningar;NULL;0;SAMRUMUser;2009-07-16 15:09:37.753;SAMRUMUser;2013-09-03 14:09:03.237;0x00000000000489EF;10
115;RFP;Skapa typrum;0;SAMRUMUser;2009-09-15 13:03:02.500;SAMRUMUser;2009-09-15 13:03:02.500;0x000000000002F56E;1
116;Gränsdragningslista Fast.-ägare/Hyresgäst;NULL;0;SAMRUMUser;2009-09-16 10:50:11.333;SAMRUMUser;2009-09-16 10:50:11.333;0x000000000002F80D;1
117;3.12 Fönsterprojektering;NULL;0;SAMRUMUser;2009-09-21 13:51:38.110;SAMRUMUser;2013-09-03 14:13:15.797;0x00000000000489F5;9
