OTRM_ID;OTRM_OTR_ID_ObjectTypeRelationship;OTRM_PMO_ID_Module;OTRM_ReadOnly;CREATED_BY;CREATED_DATE;CHANGED_BY;CHANGED_DATE;timestamp
3179;1075;32;0;SAMRUMDev;2007-12-01 17:54:34.410;SAMRUMDev;2007-12-01 17:54:34.410;0x0000000000012C99
3180;1106;32;0;SAMRUMDev;2007-12-01 17:55:17.987;SAMRUMDev;2007-12-01 17:55:17.987;0x0000000000012C9C
3181;1107;32;0;SAMRUMDev;2007-12-01 17:55:44.550;SAMRUMDev;2007-12-01 17:55:44.550;0x0000000000012C9F
3182;1108;32;0;SAMRUMDev;2007-12-01 17:56:55.940;SAMRUMDev;2007-12-01 17:56:55.940;0x0000000000012CA2
3183;1057;32;0;SAMRUMDev;2007-12-01 17:57:46.050;SAMRUMDev;2007-12-01 17:57:46.050;0x0000000000012CA5
3184;1058;32;0;SAMRUMDev;2007-12-01 17:58:20.067;SAMRUMDev;2007-12-01 17:58:20.067;0x0000000000012CA8
3185;1059;32;0;SAMRUMDev;2007-12-01 17:58:52.910;SAMRUMDev;2007-12-01 17:58:52.910;0x0000000000012CAB
3186;1054;32;0;SAMRUMDev;2007-12-01 18:01:04.440;SAMRUMDev;2007-12-01 18:01:04.440;0x0000000000012CB0
3187;1055;32;0;SAMRUMDev;2007-12-01 18:01:34.753;SAMRUMDev;2007-12-01 18:01:34.753;0x0000000000012CB3
3188;1056;32;0;SAMRUMDev;2007-12-01 18:02:06.957;SAMRUMDev;2007-12-01 18:02:06.957;0x0000000000012CB6
3189;1070;32;0;SAMRUMDev;2007-12-01 18:02:59.393;SAMRUMDev;2007-12-01 18:02:59.393;0x0000000000012CB9
3190;1071;32;0;SAMRUMDev;2007-12-01 18:03:24.470;SAMRUMDev;2007-12-01 18:03:24.470;0x0000000000012CBC
3191;1072;32;0;SAMRUMDev;2007-12-01 18:03:51.923;SAMRUMDev;2007-12-01 18:03:51.923;0x0000000000012CBF
3192;1097;32;0;SAMRUMDev;2007-12-01 18:05:16.173;SAMRUMDev;2007-12-01 18:05:16.173;0x0000000000012CC2
3193;1098;32;0;SAMRUMDev;2007-12-01 18:05:42.080;SAMRUMDev;2007-12-01 18:05:42.080;0x0000000000012CC5
3194;1099;32;0;SAMRUMDev;2007-12-01 18:06:08.207;SAMRUMDev;2007-12-01 18:06:08.207;0x0000000000012CC8
3195;1064;32;0;SAMRUMDev;2007-12-01 18:07:14.440;SAMRUMDev;2007-12-01 18:07:14.440;0x0000000000012CCB
3196;1065;32;0;SAMRUMDev;2007-12-01 18:07:37.317;SAMRUMDev;2007-12-01 18:07:37.317;0x0000000000012CCE
3197;1066;32;0;SAMRUMDev;2007-12-01 18:08:05.923;SAMRUMDev;2007-12-01 18:08:05.923;0x0000000000012CD1
3198;1100;32;0;SAMRUMDev;2007-12-01 18:08:43.003;SAMRUMDev;2007-12-01 18:08:43.003;0x0000000000012CD4
3199;1101;32;0;SAMRUMDev;2007-12-01 18:09:11.160;SAMRUMDev;2007-12-01 18:09:11.160;0x0000000000012CD7
3200;1102;32;0;SAMRUMDev;2007-12-01 18:09:32.317;SAMRUMDev;2007-12-01 18:09:32.317;0x0000000000012CDA
3201;1103;32;0;SAMRUMDev;2007-12-01 18:10:13.410;SAMRUMDev;2007-12-01 18:10:13.410;0x0000000000012CDD
3202;1104;32;0;SAMRUMDev;2007-12-01 18:10:39.347;SAMRUMDev;2007-12-01 18:10:39.347;0x0000000000012CE0
3203;1105;32;0;SAMRUMDev;2007-12-01 18:11:04.110;SAMRUMDev;2007-12-01 18:11:04.110;0x0000000000012CE3
3204;1085;32;0;SAMRUMDev;2007-12-01 18:11:41.487;SAMRUMDev;2007-12-01 18:11:41.487;0x0000000000012CE6
3205;1086;32;0;SAMRUMDev;2007-12-01 18:12:03.703;SAMRUMDev;2007-12-01 18:12:03.703;0x0000000000012CE9
3206;1087;32;0;SAMRUMDev;2007-12-01 18:12:28.940;SAMRUMDev;2007-12-01 18:12:28.940;0x0000000000012CEC
3207;1082;32;0;SAMRUMDev;2007-12-01 18:13:20.160;SAMRUMDev;2007-12-01 18:13:20.160;0x0000000000012CEF
3208;1083;32;0;SAMRUMDev;2007-12-01 18:13:49.173;SAMRUMDev;2007-12-01 18:13:49.173;0x0000000000012CF2
3209;1084;32;0;SAMRUMDev;2007-12-01 18:14:12.080;SAMRUMDev;2007-12-01 18:14:12.080;0x0000000000012CF5
3210;1043;32;0;SAMRUMDev;2007-12-01 18:15:24.673;SAMRUMDev;2007-12-01 18:15:24.673;0x0000000000012CF8
3211;1045;32;0;SAMRUMDev;2007-12-01 18:15:58.957;SAMRUMDev;2007-12-01 18:15:58.957;0x0000000000012CFB
3212;1047;32;0;SAMRUMDev;2007-12-01 18:16:27.097;SAMRUMDev;2007-12-01 18:16:27.097;0x0000000000012CFE
3213;1048;32;0;SAMRUMDev;2007-12-01 18:17:12.597;SAMRUMDev;2007-12-01 18:17:12.597;0x0000000000012D02
3214;1049;32;0;SAMRUMDev;2007-12-01 18:17:37.703;SAMRUMDev;2007-12-01 18:17:37.703;0x0000000000012D05
3215;1050;32;0;SAMRUMDev;2007-12-01 18:18:05.893;SAMRUMDev;2007-12-01 18:18:05.893;0x0000000000012D08
3216;1094;32;0;SAMRUMDev;2007-12-01 18:18:45.987;SAMRUMDev;2007-12-01 18:18:45.987;0x0000000000012D0B
3217;1095;32;0;SAMRUMDev;2007-12-01 18:19:06.910;SAMRUMDev;2007-12-01 18:19:06.910;0x0000000000012D0E
3218;1096;32;0;SAMRUMDev;2007-12-01 18:19:27.220;SAMRUMDev;2007-12-01 18:19:27.220;0x0000000000012D11
3219;1079;32;0;SAMRUMDev;2007-12-01 18:20:05.253;SAMRUMDev;2007-12-01 18:20:05.253;0x0000000000012D14
3220;1080;32;0;SAMRUMDev;2007-12-01 18:20:29.580;SAMRUMDev;2007-12-01 18:20:29.580;0x0000000000012D17
3221;1081;32;0;SAMRUMDev;2007-12-01 18:20:53.173;SAMRUMDev;2007-12-01 18:20:53.173;0x0000000000012D1A
3249;1026;65;0;SAMRUMDev;2007-12-08 17:07:53.560;SAMRUMDev;2007-12-08 17:07:53.560;0x00000000000131DB
3250;1137;65;0;SAMRUMDev;2007-12-08 17:08:15.357;SAMRUMDev;2007-12-08 17:08:15.357;0x00000000000131DE
3251;1023;65;0;SAMRUMDev;2007-12-08 17:08:37.827;SAMRUMDev;2007-12-08 17:08:37.827;0x00000000000131E1
3252;1164;32;0;SAMRUMDev;2007-12-09 12:03:18.890;SAMRUMDev;2007-12-09 12:03:18.890;0x00000000000131E6
3254;1154;32;0;SAMRUMDev;2007-12-09 17:49:19.030;SAMRUMDev;2007-12-09 17:49:19.030;0x00000000000132B4
3255;1151;32;0;SAMRUMDev;2007-12-09 17:49:46.000;SAMRUMDev;2007-12-09 17:49:46.000;0x00000000000132B7
